phoneme,feature,n_l1,n_l2,mean_l1,mean_l2,diff,cohens_d,test,stat,p_raw,p_sw_l1,p_sw_l2,p_levene,p_adj_BH,significant_BH,representation,layer,cosine_dist
o,F1_lob,54.0,60.0,-0.621878400705664,-0.5914171764694719,-0.03046122423619213,-0.12538650703653434,Mann-Whitney,1553.0,0.7058835035598714,0.029525789307559988,0.47273680510151367,0.8740561498708104,0.7430352669051278,False,acoustic,,
o,F2_lob,54.0,60.0,-0.5933672364447878,-0.5715642602857756,-0.021802976159012277,-0.07994772713981517,Welch,-0.43014260727645415,0.667968046169376,0.8356891462876799,0.2541818110424008,0.0031312232541328925,0.7430352669051278,False,acoustic,,
u,F1_lob,323.0,390.0,-0.7996107800257234,-0.9811747223367826,0.1815639423110592,0.5107011888018375,Mann-Whitney,85426.0,2.4702015070614893e-16,0.0032998902035453587,0.05080348634195689,0.03262275505145085,2.4702015070614895e-15,True,acoustic,,
u,F2_lob,323.0,390.0,-1.3025273605891021,-1.1212142309644542,-0.18131312962464796,-0.3953521891675038,Mann-Whitney,50287.0,3.5187985163214636e-06,0.34804953304389463,0.0013272315582360055,0.002947581003944317,1.4075194065285854e-05,True,acoustic,,
y,F1_lob,273.0,265.0,-0.7505169292701488,-1.0075190862533354,0.2570021569831866,0.3121862509201186,Mann-Whitney,42837.0,0.00021832680229126342,3.5837848021273e-08,0.052443652339338565,0.002160214877222978,0.0007277560076375448,True,acoustic,,
y,F2_lob,273.0,265.0,0.34662206334495044,0.1716670009736515,0.17495506237129893,0.33093891704264067,Mann-Whitney,41916.0,0.001443093833068834,0.0018015855871185995,0.46316975849887054,0.06346335736271448,0.004123125237339526,True,acoustic,,
ø,F1_lob,108.0,120.0,-0.5791700849879009,-0.46022297214925856,-0.11894711283864234,-0.41387895215921794,Welch,-3.156494380288134,0.0018397162176286268,0.29222074738825726,0.10676812918187703,1.5177235917222142e-06,0.004599290544071567,True,acoustic,,
ø,F2_lob,108.0,120.0,0.09437346818357241,0.06958053715862131,0.0247929310249511,0.06678452767569873,Mann-Whitney,5780.0,0.1595580576369039,0.2838087317544082,0.0061278893328068,0.008290237566575766,0.245473934826006,False,acoustic,,
ə,F1_lob,30.0,87.0,-0.5438078995809934,-0.18701239935118988,-0.35679550022980355,-0.38520699416251775,Mann-Whitney,1120.0,0.24945923118223512,0.01402804840174165,0.10717804301219651,0.8959093548781382,0.3563703302603359,False,acoustic,,
ə,F2_lob,30.0,87.0,0.061021310381965246,-0.06130349007391624,0.12232480045588148,0.28889335191295873,Welch,1.66570228836283,0.09866176584158326,0.3084428304808969,0.3452458841014904,0.004179566894180667,0.18568156319611492,False,acoustic,,
a,,,,,,,,,,0.0001999600079984003,,,,0.0001999600079984003,True,whisper,4.0,0.008555140390612559
ɑ,,,,,,,,,,0.0001999600079984003,,,,0.0001999600079984003,True,whisper,4.0,0.01131073014597983
e,,,,,,,,,,0.0001999600079984003,,,,0.0001999600079984003,True,whisper,4.0,0.01243448002319536
ɛ,,,,,,,,,,0.0001999600079984003,,,,0.0001999600079984003,True,whisper,4.0,0.011952341600251715
i,,,,,,,,,,0.0001999600079984003,,,,0.0001999600079984003,True,whisper,4.0,0.010409943086067242
o,,,,,,,,,,0.0001999600079984003,,,,0.0001999600079984003,True,whisper,4.0,0.011525734097907803
u,,,,,,,,,,0.0001999600079984003,,,,0.0001999600079984003,True,whisper,4.0,0.007341174448052268
y,,,,,,,,,,0.0001999600079984003,,,,0.0001999600079984003,True,whisper,4.0,0.008773437692546349
ø,,,,,,,,,,0.0001999600079984003,,,,0.0001999600079984003,True,whisper,4.0,0.011656840693918591
ə,,,,,,,,,,0.0001999600079984003,,,,0.0001999600079984003,True,whisper,4.0,0.011472714495435632
a,,,,,,,,,,0.0001999600079984003,,,,0.0001999600079984003,True,xlsr,3.0,0.03756807390161576
ɑ,,,,,,,,,,0.0001999600079984003,,,,0.0001999600079984003,True,xlsr,3.0,0.05063692637083639
e,,,,,,,,,,0.0001999600079984003,,,,0.0001999600079984003,True,xlsr,3.0,0.05580710014431556
ɛ,,,,,,,,,,0.0001999600079984003,,,,0.0001999600079984003,True,xlsr,3.0,0.05232939481794752
i,,,,,,,,,,0.0001999600079984003,,,,0.0001999600079984003,True,xlsr,3.0,0.04759003052218169
o,,,,,,,,,,0.0001999600079984003,,,,0.0001999600079984003,True,xlsr,3.0,0.043572885395775196
u,,,,,,,,,,0.0001999600079984003,,,,0.0001999600079984003,True,xlsr,3.0,0.03734898740730941
y,,,,,,,,,,0.0001999600079984003,,,,0.0001999600079984003,True,xlsr,3.0,0.042376418180668396
ø,,,,,,,,,,0.0001999600079984003,,,,0.0001999600079984003,True,xlsr,3.0,0.0493939573331037
ə,,,,,,,,,,0.0001999600079984003,,,,0.0001999600079984003,True,xlsr,3.0,0.04531453058998458
