phoneme,group,feature,n,mean,median,sd,iqr,cv
o,L1F,F1_lob,12,-0.9182379196588699,-0.8788167295737721,0.1289175461969685,0.23605350453056695,0.14039667000994907
o,L1F,F2_lob,12,-0.7605217188473886,-0.7749287324264811,0.1904204150724486,0.29880313127905955,0.25038129793458225
o,L1M,F1_lob,42,-0.5372042524333194,-0.523053784562637,0.19585166680453206,0.19120163922148586,0.3645757938761704
o,L1M,F2_lob,42,-0.5456088129011876,-0.5637198317092776,0.2065712567896382,0.23210835985209155,0.3786068917971258
o,L2F,F1_lob,48,-0.6111058571011462,-0.6371437297993796,0.2337161782167312,0.3156151008028428,0.38244794334878723
o,L2F,F2_lob,48,-0.5132724024734029,-0.493749625414539,0.32407953972419895,0.4321498415976005,0.6313987234897016
o,L2M,F1_lob,12,-0.5126624539427739,-0.4953817586005469,0.27654191691555347,0.48223037298576754,0.5394229961424531
o,L2M,F2_lob,12,-0.8047316915352655,-0.8029895334149576,0.11785800176992924,0.1667119044812826,0.1464562698470095
u,L1F,F1_lob,73,-1.0483295652083706,-0.9698304751770026,0.38816583320178594,0.5161652492499037,0.3702708061320701
u,L1F,F2_lob,73,-1.2722154405308121,-1.3315211142891905,0.36878139390786935,0.4076601753054978,0.2898733832015127
u,L1M,F1_lob,250,-0.7269848947523904,-0.7415670040177387,0.33198979754917357,0.38480245964496274,0.4566667064825998
u,L1M,F2_lob,250,-1.3113784412461227,-1.335788550564943,0.4093926059578033,0.5574072271784261,0.31218494454490386
u,L2F,F1_lob,317,-0.96558889450177,-0.9971190314609404,0.35240221432237256,0.36570420452177577,0.36496092315167633
u,L2F,F2_lob,317,-1.1233601807478601,-1.2164667608692008,0.4881066016702421,0.5925057664419762,0.434505878021502
u,L2M,F1_lob,73,-1.0488556459490983,-1.0432115181188757,0.2731249572050218,0.2814658916180376,0.26040280972876295
u,L2M,F2_lob,73,-1.1118955175214447,-1.18006355341332,0.6007834351516016,0.6320974543405644,0.5403236416410991
y,L1F,F1_lob,60,-1.2260768730074645,-1.1854864777771028,0.3403091014792016,0.3608020504315228,0.27755935127008124
y,L1F,F2_lob,60,0.4661835021071981,0.5378951290473752,0.5110765942063468,0.5193056277323556,1.0962991866855587
y,L1M,F1_lob,213,-0.6165563817385106,-0.894064069405674,1.1460612353457562,0.3747633177870737,1.8588101093272202
y,L1M,F2_lob,213,0.3129427848203737,0.3777074739302403,0.4747566113231854,0.5991875978957788,1.517071600151099
y,L2F,F1_lob,205,-1.009757982902507,-1.0385236971998892,0.49933272360876896,0.40275336311217336,0.4945073295419344
y,L2F,F2_lob,205,0.176155691351958,0.2051905289509584,0.5161205674243005,0.6776206787577097,2.929911395216262
y,L2M,F1_lob,60,-0.9998695227019988,-1.0578932335044642,0.47280291716869316,0.36385870659936737,0.4728646152660134
y,L2M,F2_lob,60,0.1563306421811043,0.43863060842020435,0.7225809142329683,0.49139033950024424,4.622132322567193
ø,L1F,F1_lob,24,-0.6911358194926724,-0.669539613102085,0.16233027984660992,0.2519367861208467,0.23487464441615585
ø,L1F,F2_lob,24,0.3597737237691785,0.3977788965632396,0.34495161499084126,0.3649593698113329,0.9588015805516505
ø,L1M,F1_lob,84,-0.5471798751293948,-0.5309193598365854,0.22021841029416056,0.2899699108859969,0.4024607269082845
ø,L1M,F2_lob,84,0.018544823730542125,0.042030153312502,0.22612441382435186,0.2807309113801342,12.193397851063937
ø,L2F,F1_lob,95,-0.4381389748376123,-0.4788810985964722,0.352203030973105,0.6100815394011111,0.8038614485361458
ø,L2F,F2_lob,95,0.03405384448646476,0.1398783815858495,0.43093467114051254,0.509475700065799,12.654508694658379
ø,L2M,F1_lob,25,-0.5441421619335144,-0.5871109921222945,0.30237033007976105,0.3066211295030421,0.5556825977339097
ø,L2M,F2_lob,25,0.20458196931281625,0.3469172080135755,0.4372182024560467,0.17502666160916994,2.137129698793337
ə,L1F,F1_lob,19,-0.6316885372890642,-0.2828482560592518,1.1632322833360629,1.2714116692927508,1.8414649224571276
ə,L1F,F2_lob,19,0.15858235143659583,0.2280512308297647,0.21764804533673848,0.24869622971910943,1.3724607017430828
ə,L1M,F1_lob,11,-0.39201407081250733,-0.3408470383825527,0.450088469256811,0.5111050238483386,1.148143658017009
ə,L1M,F2_lob,11,-0.10749321507603304,-0.1777039209988981,0.185061552372387,0.342389304647356,1.721611473258918
ə,L2F,F1_lob,83,-0.2210483859556258,-0.3438143969600929,0.8968712274373066,1.145303361831471,4.05735252741157
ə,L2F,F2_lob,83,-0.07353448686246603,0.0168073720833999,0.5449012816461923,0.5773297379053142,7.41014597226114
ə,L2M,F1_lob,4,0.5192343226908558,0.5083528825991102,0.1740017873229144,0.12935857449716648,0.33511225995457244
ə,L2M,F2_lob,4,0.1924896932884923,0.3626171065231027,0.636021468896498,0.6890886363448917,3.304184541160166
