model,response,phoneme,AIC,BIC,logLik,LRT_stat,LRT_p,ICC,R2_marginal,R2_conditional,fe_Intercept,fe_L2,fe_Male,fe_L2:Male,representation
main,F2_lob,ø,139.81158096841523,156.95830911318743,-64.90579048420761,0.3949655704370798,0.8207942703000917,0.37914826401026763,0.009021690506906611,0.37927760440788105,0.15796992886609437,-0.06980963487967193,-0.08176687802038515,,
full,F2_lob,ø,137.95038207138714,158.5264558451138,-62.97519103569357,3.861198897028089,0.04941500629775324,0.37914826401026763,0.08681233469969746,0.37910643119852316,0.3597737237691798,-0.32225524130863237,-0.3412289000386377,0.5108701606252745,
extended,F2_lob,ø,137.95038207138714,158.5264558451138,-62.97519103569357,,,0.37914826401026763,0.08681233469969746,0.37910643119852316,0.3597737237691798,-0.32225524130863237,-0.3412289000386377,0.5108701606252745,
intercept_only,F1_lob,ə,315.6869556596839,323.9734774640772,-154.84347782984196,,,0.2034142663878145,8.25299132224417e-34,0.2034142663878145,-0.20099394084697675,,,,
main,F1_lob,ə,314.07585935682164,327.88672903081044,-152.03792967841082,5.611096302862279,0.060473613387942306,0.2034142663878145,0.04420366328061974,0.0857831608529249,-0.6713573467864521,0.46611563694547714,0.40960734557213274,,
full,F1_lob,ə,315.14850653912947,331.721550147916,-151.57425326956474,0.9273528176921673,0.3355517397699594,0.2034142663878145,0.048121864181737035,0.08005756018228992,-0.5835508324821366,0.35040525571683695,0.18951986230911333,0.5665368757968213,
extended,F1_lob,ə,315.14850653912947,331.721550147916,-151.57425326956474,,,0.2034142663878145,0.048121864181737035,0.08005756018228992,-0.5835508324821366,0.35040525571683695,0.18951986230911333,0.5665368757968213,
intercept_only,F2_lob,ə,168.39671924857748,176.68324105297074,-81.19835962428874,,,0.03966992285233403,1.2704526226346993e-35,0.03966992285233403,-0.011015915272661493,,,,
main,F2_lob,ə,171.61109425008112,185.4219639240699,-80.80554712504056,0.7856249984963597,0.6751553278503822,0.03966992285233403,0.01057526441716311,0.033252287382950545,0.08408524574737733,-0.1260510127166065,-0.06464612103585461,,
full,F2_lob,ə,171.33625362908253,187.90929723786908,-79.66812681454127,2.2748406209985887,0.1314886415325693,0.03966992285233403,0.038457415759539315,0.08292913821633742,0.17212083492566163,-0.23155979531670676,-0.264840030253361,0.5256767379220402,
extended,F2_lob,ə,171.33625362908253,187.90929723786908,-79.66812681454127,,,0.03966992285233403,0.038457415759539315,0.08292913821633742,0.17212083492566163,-0.23155979531670676,-0.264840030253361,0.5256767379220402,
intercept_only,PC1,a,12631.013242291603,12649.129746564966,-6312.506621145802,,,0.03820024962455042,0.0,0.03820024962455042,1.6747930371021587,,,,whisper_layer4
main,PC1,a,12630.423403382778,12660.617577171717,-6310.211701691389,4.589838908825186,0.10076950948077062,0.03820024962455042,0.009150775897021604,0.03770243218111404,1.371170794368386,0.43506225002219434,0.15599483943496,,whisper_layer4
full,PC1,a,12632.410246448188,12668.643254994913,-6310.205123224094,0.013156934590369929,0.9086799956360075,0.03820024962455042,0.009198704131932493,0.03772110616276738,1.353274959330302,0.4573119368733359,0.179031220857633,-0.04531086670239496,whisper_layer4
extended,PC1,a,12632.410246448188,12668.643254994913,-6310.205123224094,,,0.03820024962455042,0.009198704131932493,0.03772110616276738,1.353274959330302,0.4573119368733359,0.179031220857633,-0.04531086670239496,whisper_layer4
intercept_only,PC1,ɑ,2144.3093642331514,2159.053556911307,-1069.1546821165757,,,0.5333093524455598,8.091136447547292e-31,0.5333093524455598,2.769241891963938,,,,whisper_layer4
main,PC1,ɑ,2145.7669749353554,2170.3406293989483,-1067.8834874676777,2.542389297796035,0.2804963269105933,0.5333093524455598,0.06941930256505902,0.5337229224762067,2.431445178569827,0.1169843107195973,0.5759698959260292,,whisper_layer4
full,PC1,ɑ,2146.894201235189,2176.3825865915005,-1067.4471006175945,0.8727737001663627,0.3501885740089077,0.5333093524455598,0.08582879054240787,0.5309552571181286,2.708987826195684,-0.2330146519349306,0.21915725665599445,0.7066289880512703,whisper_layer4
extended,PC1,ɑ,2146.894201235189,2176.3825865915005,-1067.4471006175945,,,0.5333093524455598,0.08582879054240787,0.5309552571181286,2.708987826195684,-0.2330146519349306,0.21915725665599445,0.7066289880512703,whisper_layer4
random_slope,PC1,ɑ,2149.6586891205534,2188.976536262302,-1066.8293445602767,1.2355121146356396,0.5391529094425318,0.5333093524455598,0.10422503012713014,0.44395821306522054,2.7087613723867725,-0.24299617289649017,0.21927706773810604,0.716687651210209,whisper_layer4
intercept_only,PC1,e,512.7426641370225,523.1970549374945,-253.37133206851126,,,0.37336310747757917,0.0,0.37336310747757917,-1.5390182829846553,,,,whisper_layer4
main,PC1,e,512.5499335356442,529.9739182030975,-251.2749667678221,4.192730601378344,0.12290233041760226,0.37336310747757917,0.08245217925854596,0.37203248366754643,-1.9479765434977112,0.5619952980303109,0.23799733212835705,,whisper_layer4
full,PC1,e,514.526743907581,535.435525508525,-251.2633719537905,0.02318962806316449,0.8789649859848165,0.37336310747757917,0.08286737175038265,0.37204025968260085,-1.9161727080742474,0.522356863234348,0.19712109917473938,0.08033025049367204,whisper_layer4
extended,PC1,e,514.526743907581,535.435525508525,-251.2633719537905,,,0.37336310747757917,0.08286737175038265,0.37204025968260085,-1.9161727080742474,0.522356863234348,0.19712109917473938,0.08033025049367204,whisper_layer4
intercept_only,PC1,ɛ,1205.1089319762073,1216.6569063160478,-599.5544659881036,,,0.01815951300598608,6.629549251664022e-33,0.01815951300598608,-0.8854996229101838,,,,whisper_layer4
main,PC1,ɛ,1208.7256609946253,1227.9722848943595,-599.3628304973126,0.3832709815819726,0.825607755280181,0.01815951300598608,0.0014565602985138204,0.017749183915485297,-0.985833482413109,0.12483725359228753,0.07099086095126836,,whisper_layer4
full,PC1,ɛ,1210.6590530343524,1233.7550017140336,-599.3295265171762,0.06660796027290417,0.796341168678992,0.01815951300598608,0.0016861593061862803,0.017875941663126543,-1.028311864395315,0.1779956202818763,0.12560796504967464,-0.10320373513372966,whisper_layer4
extended,PC1,ɛ,1210.6590530343524,1233.7550017140336,-599.3295265171762,,,0.01815951300598608,0.0016861593061862803,0.017875941663126543,-1.028311864395315,0.1779956202818763,0.12560796504967464,-0.10320373513372966,whisper_layer4
intercept_only,PC1,i,5446.673554020481,5463.277841991593,-2720.3367770102404,,,0.10639194165382271,1.5198711413809135e-30,0.10639194165382271,-3.9072741718078365,,,,whisper_layer4
main,PC1,i,5447.23174133917,5474.905554624358,-2718.615870669585,3.4418126813106937,0.17890392650667664,0.10639194165382271,0.019202479629931865,0.10642125874356309,-3.841308693480745,0.08949442182501764,-0.2385358643237382,,whisper_layer4
full,PC1,i,5448.134393435741,5481.342969377966,-2718.0671967178705,1.0973479034291813,0.2948488661871498,0.10639194165382271,0.02421618936201575,0.10610330718516006,-3.9945135624969996,0.28116204549715706,-0.041553684930113924,-0.390155129450691,whisper_layer4
extended,PC1,i,5448.134393435741,5481.342969377966,-2718.0671967178705,,,0.10639194165382271,0.02421618936201575,0.10610330718516006,-3.9945135624969996,0.28116204549715706,-0.041553684930113924,-0.390155129450691,whisper_layer4
intercept_only,PC1,o,243.7278324974452,251.9364278426287,-118.8639162487226,,,0.5300073117220957,6.920946097156793e-32,0.5300073117220957,1.035413166060799,,,,whisper_layer4
main,PC1,o,239.74607144489596,253.42706368686845,-114.87303572244798,7.9817610525492455,0.01848343180501874,0.5300073117220957,0.20867513348399194,0.5300286054944141,0.5084280755891172,0.8547495613000333,0.16280234510684585,,whisper_layer4
full,PC1,o,241.74214674103973,258.1593374314067,-114.87107337051987,0.003924703856228007,0.9500472384658127,0.5300073117220957,0.20875768483024065,0.5300286048592289,0.523271630207701,0.836195118026804,0.14371777488295337,0.03763901349711882,whisper_layer4
extended,PC1,o,241.74214674103973,258.1593374314067,-114.87107337051987,,,0.5300073117220957,0.20875768483024065,0.5300286048592289,0.523271630207701,0.836195118026804,0.14371777488295337,0.03763901349711882,whisper_layer4
intercept_only,PC1,u,2388.408776785648,2402.117221046891,-1191.204388392824,,,0.038196735399822615,6.607043428051025e-32,0.038196735399822615,0.8102374625730168,,,,whisper_layer4
main,PC1,u,2391.7535195068485,2414.60092660892,-1190.8767597534243,0.6552572787995814,0.7206305838269792,0.038196735399822615,0.0021307741240937455,0.03822038398873557,0.6784152246453118,0.12785937065802644,0.1360160246363701,,whisper_layer4
full,PC1,u,2391.9505742574847,2419.3674627799705,-1189.9752871287424,1.8029452493638018,0.1793568360353014,0.038196735399822615,0.0076595046205214885,0.03864034614634293,0.4889647375818528,0.36224521988185865,0.3800631445802329,-0.47840523950681846,whisper_layer4
extended,PC1,u,2391.9505742574847,2419.3674627799705,-1189.9752871287424,,,0.038196735399822615,0.0076595046205214885,0.03864034614634293,0.4889647375818528,0.36224521988185865,0.3800631445802329,-0.47840523950681846,whisper_layer4
intercept_only,PC1,y,1920.0743305261062,1932.9379062065916,-957.0371652630531,,,0.09218094454853497,2.2846298800041848e-32,0.09218094454853497,-1.298976837213216,,,,whisper_layer4
main,PC1,y,1921.2333233614477,1942.6726161622566,-955.6166616807238,2.8410071646585493,0.24159232463299776,0.09218094454853497,0.017566122036575878,0.09247749707768099,-1.5503874032655536,0.4241158934638647,0.07055516821449137,,whisper_layer4
full,PC1,y,1923.2239216985804,1948.9510730595512,-955.6119608492902,0.009401662867276173,0.9227564349434405,0.09218094454853497,0.01758713175273994,0.09244580690546003,-1.5708255451172577,0.4500556992200721,0.09681024395393244,-0.05219749378555752,whisper_layer4
extended,PC1,y,1923.2239216985804,1948.9510730595512,-955.6119608492902,,,0.09218094454853497,0.01758713175273994,0.09244580690546003,-1.5708255451172577,0.4500556992200721,0.09681024395393244,-0.05219749378555752,whisper_layer4
intercept_only,PC1,ø,563.0775025221114,573.3655394089748,-278.5387512610557,,,0.404361749201514,0.0,0.404361749201514,-0.9207110895282751,,,,whisper_layer4
